num_tasks,values_per_task,total_items,repeat,cpu_time_sec,cuda_total_time_sec,cuda_h2d_time_sec,cuda_kernel_time_sec,cuda_d2h_time_sec,correct
1,1000,1000,1,0.000069100,0.089138400,0.000470912,0.000434176,0.000059968,1
1,1000,1000,2,0.000036500,0.000627400,0.000329312,0.000022368,0.000068576,1
1,1000,1000,3,0.000032800,0.000733000,0.000363008,0.000015360,0.000085632,1
1,1000,1000,4,0.000031800,0.000626600,0.000332032,0.000015360,0.000077440,1
1,1000,1000,5,0.000031600,0.000698400,0.000369600,0.000016288,0.000084256,1
1,10000,10000,1,0.000522500,0.001995400,0.000662592,0.000030592,0.000290144,1
1,10000,10000,2,0.000585100,0.001803000,0.000502272,0.000030720,0.000236512,1
1,10000,10000,3,0.000551200,0.001738700,0.000441952,0.000047104,0.000219456,1
1,10000,10000,4,0.000559100,0.001599800,0.000383136,0.000030592,0.000218080,1
1,10000,10000,5,0.000503900,0.001825100,0.000577504,0.000029696,0.000226976,1
4,1000,4000,1,0.000185400,0.001313700,0.000563072,0.000021344,0.000183744,1
4,1000,4000,2,0.000230800,0.001167100,0.000459200,0.000020416,0.000160192,1
4,1000,4000,3,0.000213000,0.001169600,0.000359136,0.000113664,0.000154336,1
4,1000,4000,4,0.000213300,0.001043000,0.000329024,0.000054368,0.000137664,1
4,1000,4000,5,0.000199400,0.001340800,0.000526816,0.000027296,0.000181472,1
4,10000,40000,1,0.002356900,0.005340000,0.001180544,0.000080896,0.000540608,1
4,10000,40000,2,0.002043800,0.004935400,0.001090240,0.000089088,0.000582784,1
4,10000,40000,3,0.002356200,0.005239000,0.001051712,0.000089856,0.000538752,1
4,10000,40000,4,0.002074100,0.005089600,0.001082304,0.000089088,0.000616992,1
4,10000,40000,5,0.002874500,0.004858000,0.001081600,0.000089088,0.000533696,1
16,1000,16000,1,0.000866900,0.002803400,0.001016864,0.000048128,0.000300928,1
16,1000,16000,2,0.000912500,0.002768300,0.000828032,0.000039936,0.000289984,1
16,1000,16000,3,0.000863700,0.003424300,0.001254048,0.000069632,0.000354176,1
16,1000,16000,4,0.001017600,0.003018800,0.000940768,0.000056320,0.000323008,1
16,1000,16000,5,0.000904200,0.003154400,0.001250496,0.000068384,0.000345600,1
16,10000,160000,1,0.009073600,0.017029100,0.002075904,0.000304128,0.002115392,1
16,10000,160000,2,0.011575300,0.018246000,0.002178688,0.000304960,0.002281120,1
16,10000,160000,3,0.010554100,0.017653500,0.002322944,0.000304960,0.002220256,1
16,10000,160000,4,0.009780100,0.018828300,0.002892256,0.000310272,0.002286784,1
16,10000,160000,5,0.009053300,0.017701400,0.002232384,0.000305152,0.002224640,1
64,1000,64000,1,0.003605500,0.007598100,0.001392160,0.000116736,0.000799488,1
64,1000,64000,2,0.003355900,0.007496500,0.001399680,0.000132096,0.000769216,1
64,1000,64000,3,0.003466400,0.007494400,0.001601376,0.000160704,0.000942848,1
64,1000,64000,4,0.003441000,0.007000400,0.001209376,0.000130752,0.000840384,1
64,1000,64000,5,0.004083500,0.007563600,0.001353920,0.000144384,0.000801760,1
64,10000,640000,1,0.039988500,0.062200300,0.005837568,0.001063904,0.006771296,1
64,10000,640000,2,0.040158300,0.061202500,0.006459648,0.001055744,0.006785120,1
64,10000,640000,3,0.036869100,0.061425700,0.005556000,0.001060864,0.006841376,1
64,10000,640000,4,0.038427300,0.063055800,0.006091232,0.001377280,0.006810560,1
64,10000,640000,5,0.036241500,0.061213100,0.006110048,0.001061888,0.006728288,1
