n,repeat,cpu_time_sec,cuda_total_time_sec,cuda_h2d_time_sec,cuda_kernel_time_sec,cuda_d2h_time_sec,correct
44,1,0.000000600,0.000154700,0.000036544,0.000010240,0.000059328,1
44,2,0.000000300,0.000140500,0.000036032,0.000011264,0.000047424,1
44,3,0.000000300,0.000136100,0.000042112,0.000010240,0.000051520,1
44,4,0.000000300,0.000156900,0.000060256,0.000010240,0.000053120,1
44,5,0.000000300,0.000140500,0.000042048,0.000010240,0.000053760,1
1000,1,0.000006700,0.000209200,0.000043008,0.000008192,0.000080864,1
1000,2,0.000007000,0.000210900,0.000043104,0.000008192,0.000079360,1
1000,3,0.000006800,0.000190100,0.000036576,0.000031744,0.000064416,1
1000,4,0.000006700,0.000206100,0.000044128,0.000008928,0.000083392,1
1000,5,0.000007200,0.000191800,0.000037856,0.000013312,0.000079776,1
10000,1,0.000068800,0.000706800,0.000101568,0.000023552,0.000205728,1
10000,2,0.000068200,0.000707900,0.000102464,0.000018432,0.000214528,1
10000,3,0.000067700,0.000672500,0.000071488,0.000023552,0.000218048,1
10000,4,0.000067700,0.000675900,0.000079552,0.000024448,0.000208800,1
10000,5,0.000067700,0.000673500,0.000069344,0.000023552,0.000217760,1
100000,1,0.000906100,0.006362700,0.000291552,0.000158080,0.001288960,1
100000,2,0.000726800,0.005762700,0.000387264,0.000166624,0.001173408,1
100000,3,0.000695000,0.005559100,0.000376352,0.000143936,0.001256448,1
100000,4,0.000695700,0.005725200,0.000360160,0.000159648,0.001235360,1
100000,5,0.000695600,0.005367200,0.000392384,0.000153664,0.001190144,1
1000000,1,0.006966200,0.048381800,0.001797344,0.001211648,0.010846176,1
1000000,2,0.007575700,0.048975300,0.001738464,0.001214464,0.010769344,1
1000000,3,0.007017400,0.049847300,0.001699552,0.001207936,0.011880416,1
1000000,4,0.007380900,0.055851300,0.001708896,0.001224320,0.012298464,1
1000000,5,0.006868500,0.050954600,0.001931584,0.001231936,0.012249440,1
