n,repeat,cpu_time_sec,cuda_total_time_sec,cuda_h2d_time_sec,cuda_kernel_time_sec,cuda_d2h_time_sec,correct
44,1,0.000001000,0.000819300,0.000089920,0.000043744,0.000071104,1
44,2,0.000000500,0.000539300,0.000064160,0.000027520,0.000054816,1
44,3,0.000000500,0.000895900,0.000381952,0.000017408,0.000072416,1
44,4,0.000000600,0.000605800,0.000054304,0.000012288,0.000100736,1
44,5,0.000000500,0.000596500,0.000049696,0.000011264,0.000085824,1
1000,1,0.000007100,0.000567200,0.000060768,0.000020480,0.000083392,1
1000,2,0.000008000,0.000722500,0.000059648,0.000013312,0.000074176,1
1000,3,0.000009300,0.000593100,0.000070400,0.000036864,0.000081120,1
1000,4,0.000007000,0.000519800,0.000060768,0.000014336,0.000076000,1
1000,5,0.000006800,0.000556100,0.000049760,0.000014336,0.000079744,1
10000,1,0.000071400,0.001098100,0.000096064,0.000024480,0.000222912,1
10000,2,0.000071800,0.001136200,0.000100704,0.000024448,0.000239776,1
10000,3,0.000068600,0.001121200,0.000097504,0.000030720,0.000237984,1
10000,4,0.000071000,0.001145900,0.000084800,0.000029696,0.000291264,1
10000,5,0.000069100,0.001067500,0.000101408,0.000029696,0.000214816,1
100000,1,0.000722700,0.007661000,0.000393248,0.000154368,0.001284576,1
100000,2,0.000886800,0.007598400,0.000443904,0.000163584,0.001459424,1
100000,3,0.000701200,0.007811600,0.000389056,0.000168416,0.001185216,1
100000,4,0.000687100,0.007021500,0.000376320,0.000167680,0.001210784,1
100000,5,0.000769600,0.007198500,0.000323456,0.000149536,0.001405472,1
1000000,1,0.009483500,0.058739000,0.001692192,0.001228224,0.011565856,1
1000000,2,0.007468100,0.060387600,0.001692928,0.001223904,0.011051680,1
1000000,3,0.007257800,0.063339600,0.001984352,0.001217568,0.013649696,1
1000000,4,0.007213200,0.057078500,0.001732704,0.001214368,0.010561856,1
1000000,5,0.007556300,0.055745300,0.001691008,0.001219136,0.011630688,1
